"","Titulo","Autor","Editorial","Precio","Valoracion","Cant_coment","Cant_pag","Formato","Url"
"3283","Collins Gem Spanish Dictionary [Ninth Edition]","Collins Dictionaries","HarperCollins Publishers",NA,3.62,13,640,"Paperback","https://www.bookdepository.com/es/Collins-Gem-Spanish-Dictionary-Ninth-Edition-Collins-Dictionaries/9780007437917?ref=grid-view"
"3284","Harry Potter y la orden del fenix","J K Rowling","Publicaciones y Ediciones Salamandra, S.A.",NA,4.5,2550010,893,"Hardback","https://www.bookdepository.com/es/Harry-Potter-y-la-orden-del-fenix-J-K-Rowling/9788478887422?ref=grid-view"
"3285","La Sangre del Olimpo (Blood of Olympus)","Rick Riordan","Vintage Espanol",NA,4.41,207517,464,"Paperback","https://www.bookdepository.com/es/La-Sangre-del-Olimpo-Blood-Olympus-Rick-Riordan/9780804171687?ref=grid-view"
"3286","Tormento","Lauren Kate","Vintage Espanol",NA,3.86,211897,416,"Paperback","https://www.bookdepository.com/es/Tormento-Lauren-Kate/9780307745125?ref=grid-view"
"3287","Maldicion del Titan","Rick Riordan","Salamandra",NA,4.34,702583,280,"Paperback","https://www.bookdepository.com/es/Maldicion-del-Titan-Rick-Riordan/9788498382921?ref=grid-view"
"3288","Crepusculo","Stephenie Meyer","ALFAGUARA",NA,3.6,5028062,506,"Paperback","https://www.bookdepository.com/es/Crepusculo-Stephenie-Meyer/9789707709942?ref=grid-view"
"3289","Harry Potter Y Las Reliquias de la Muerte / Harry Potter and the Deathly Hallows","J K Rowling","Salamandra Infantil y juvenil",NA,4.62,2850429,638,"Paperback","https://www.bookdepository.com/es/Harry-Potter-Y-Las-Reliquias-de-la-Muerte-Harry-Potter-Deathly-Hallows-J-K-Rowling/9788498387001?ref=grid-view"
"3290","Harry Potter Y El Misterio del Principe / Harry Potter and the Half-Blood Prince","J K Rowling","Salamandra Infantil y juvenil",NA,4.57,2477144,602,"Paperback","https://www.bookdepository.com/es/Harry-Potter-Y-El-Misterio-del-Principe-Harry-Potter-Half-Blood-Prince-J-K-Rowling/9788498386998?ref=grid-view"
"3291","Cazadores de Sombras II, Ciudad de Ceniza","Cassandra Clare","Planeta Publishing",NA,4.16,760546,456,"Paperback","https://www.bookdepository.com/es/Cazadores-de-Sombras-II-Ciudad-de-Ceniza-Cassandra-Clare/9786070702921?ref=grid-view"
"3292","Un oso llamado Paddington","Michael Bond","Noguer Ediciones",NA,4.22,76030,160,"Paperback","https://www.bookdepository.com/es/Un-oso-llamado-Paddington-Michael-Bond/9788427901506?ref=grid-view"
"3293","Collins Spanish Dictionary 40th Anniversary Edition","Collins Dictionaries","HarperCollins Publishers",NA,4.26,23,2208,"Hardback","https://www.bookdepository.com/es/Collins-Spanish-Dictionary-40th-Anniversary-Edition-Collins-Dictionaries/9780007382385?ref=grid-view"
"3294","Collins Easy Learning Spanish Grammar and Practice","Collins Dictionaries","HarperCollins Publishers",NA,4,5,320,"Paperback","https://www.bookdepository.com/es/Collins-Easy-Learning-Spanish-Grammar-Practice-Collins-Dictionaries/9780007391400?ref=grid-view"
