"","Titulo","Autor","Editorial","Precio","Valoracion","Cant_coment","Cant_pag","Formato","Url"
"643","500 Preguntas y Respuestas Sobre los Dinosaurios","Susaeta Publishing Inc","Susaeta Publishing, Inc.",32713,5,1,220,"Paperback","https://www.bookdepository.com/es/500-Preguntas-y-Respuestas-Sobre-los-Dinosaurios-Susaeta-Publishing-Inc/9788430566761?ref=grid-view"
"644","Gol II Book + CD","Noemie Camara","Editorial Edinumen",13800,4.26,503,40,"Mixed media product","https://www.bookdepository.com/es/Gol-II-Book-CD-Noemie-Camara/9788498481303?ref=grid-view"
"645","Monster house: la casa de los sustos Book + CD","Noemie Camara","Editorial Edinumen",13800,4,3,40,"Mixed media product","https://www.bookdepository.com/es/Monster-house-la-casa-de-los-sustos-Book-CD-Noemie-Camara/9788498481327?ref=grid-view"
"646","El Gato Negro / The Black Cat; The Pit and the Pendulum; The Premature Burial","Edgar Allan Poe","Panoplia Export S L",27755,4.06,1674,62,"Hardback","https://www.bookdepository.com/es/El-Gato-Negro-Black-Cat-Pit-Pendulum-Premature-Burial-Edgar-Allan-Poe/9788497951425?ref=grid-view"
"647","El Pequeno (Y Algo Chiflado) Frank Einstein 1","Jon Scieszka","ALFAGUARA INFANTIL",17534,5,1,224,"Hardback","https://www.bookdepository.com/es/El-Pequeno-Y-Algo-Chiflado-Frank-Einstein-1-Jon-Scieszka/9788420419077?ref=grid-view"
"648","El Unico Destino (the Only Road)","Alexandra Diaz","Simon & Schuster/Paula Wiseman Books",10233,4.29,1502,320,"Paperback","https://www.bookdepository.com/es/El-Unico-Destino-Only-Road-Alexandra-Diaz/9781481484428?ref=grid-view"
"649","Primeros Ejercicios de Escritura","Anita Engelen","Combel Ediciones Editorial Esin, S.A.",9344,0,0,32,"Paperback","https://www.bookdepository.com/es/Primeros-Ejercicios-de-Escritura-Anita-Engelen/9788498257090?ref=grid-view"
"650","Te Quiero Mas","Laura Duksta","Sourcebooks, Inc",9993,4.4,5,24,"Board book","https://www.bookdepository.com/es/Te-Quiero-Mas-Laura-Duksta/9781402281778?ref=grid-view"
"651","Batman la historia del caballero oscuro / The Story of the Dark Knight","Ralph Cosentino","Jaguar Ediciones",29623,3.78,192,32,"Hardback","https://www.bookdepository.com/es/Batman-la-historia-del-caballero-oscuro-Story-Dark-Knight-Ralph-Cosentino/9788492534340?ref=grid-view"
"652","Biologia para ninos y jovenes/ Biology for children and Youth","Janice Pratt VanCleave","Editorial Limusa S.A. De C.V.",20579,3.88,51,200,"Paperback","https://www.bookdepository.com/es/Biologia-para-ninos-y-jovenes-Biology-for-children-Youth-Janice-Pratt-VanCleave/9789681846893?ref=grid-view"
"653","Estas Ahi Dios? Soy Yo, Margaret. (Are You There God? It's Me, Margaret)","Judy Blume","Atheneum Books for Young Readers",10781,3.9,192682,176,"Paperback","https://www.bookdepository.com/es/Estas-Ahi-Dios-Soy-Yo-Margaret-Are-You-There-God-Its-Me-Margaret-Judy-Blume/9781442460621?ref=grid-view"
"654","Night Time","John Butler","Usborne Publishing Ltd",27475,3.67,6,16,"Hardback","https://www.bookdepository.com/es/Night-Time-John-Butler/9780746064283?ref=grid-view"
"655","Los primeros mamiferos/ The First Mammals","Delia M. G. de Acuna","Editorial Sigmar S.A.C.I.",11756,0,0,32,"Paperback","https://www.bookdepository.com/es/Los-primeros-mamiferos-First-Mammals-Delia-M-G-de-Acuna/9789501121469?ref=grid-view"
"656","Lectura y Escritura Avanzadas A Level Practice Book","Manuel Frutos-Perez","CAMBRIDGE UNIVERSITY PRESS",94237,0,0,123,"Paperback","https://www.bookdepository.com/es/Lectura-y-Escritura-Avanzadas-Level-Practice-Book-Manuel-Frutos-Perez/9780955926556?ref=grid-view"
"657","La Bibliotecaria de Basora","Jeanette Winter","Juventud",17772,4.17,2827,32,"Hardback","https://www.bookdepository.com/es/La-Bibliotecaria-de-Basora-Jeanette-Winter/9788426135827?ref=grid-view"
"658","A Toda Pagina!","Isabel Casal","Editorial Edinumen",26637,0,0,151,"Paperback","https://www.bookdepository.com/es/Toda-Pagina-Isabel-Casal/9788489756649?ref=grid-view"
"659","Harry Potter y el caliz de fuego - Spanish","J. K. Rowling","Publicaciones y Ediciones Salamandra, S.A.",NA,4.56,2638255,635,"Paperback","https://www.bookdepository.com/es/Harry-Potter-y-el-caliz-de-fuego-Spanish-J-K-Rowling/9788498383447?ref=grid-view"
"660","Horrible Histories Collections: Goovy Greeks and Rotten Romans","Terry Deary","Scholastic",NA,4.09,187,292,"Paperback","https://www.bookdepository.com/es/Horrible-Histories-Collections-Goovy-Greeks-Rotten-Romans-Terry-Deary/9781407109688?ref=grid-view"
"661","La peor señora del mundo / The meanest lady in town","Francisco  Francisco Hinojosa","Fondo de Cultura Economica USA",NA,4.18,1525,42,"Paperback","https://www.bookdepository.com/es/La-peor-señora-del-mundo-meanest-lady-town-Francisco-Francisco-Hinojosa/9789681647056?ref=grid-view"
